IncidentID,StartTime (EST),EndTime (EST),RoadName,Suffix,Direction,CrossStreetName,CrossStreetSuffix,CrossStCommonName,MM From,MM To,County,City,Division,Latitude,Longitude,StartLatitude,StartLongitude,EndLatitude,EndLongitude,SubmittedBy,ContactName,ContactPhone,ConstructionDate,ContractNumber,Expected Impact to Traffic,Condition,ConditionName,CommonName,Incident Type,Event,EventName,LanesClosed,LanesTotal,Fatality,Structure Affected,Unusual Event in WorkZone,Commercial Vehicle,Hazardous Materials,Overturned Commercial Vehicle,Reason,DOTNotes,Detour,CreatedOn (EST),LastUpdated (EST),Project,WeightLimit,Width,HeightFt,HeightIn
505505,4/30/2017 7:18:00 PM,4/30/2017 8:57:28 PM,I-40,,Heading West,,,NC-96,332.0,-999.0,Johnston,Near Benson,4,35.3489417907061,-78.4775044304548,,,,,odhaynes,STOC,(877) 627-7862,,,High,10,Lane Closed,,Vehicle Crash,1,None,1,2,False,False,False,False,False,False,All lanes are open 2 miles North of Exit 334 (NC-96)&nbsp;,SHP,,4/30/2017 7:25:48 PM,4/30/2017 8:57:28 PM,,,,,
505502,4/30/2017 6:02:00 PM,4/30/2017 7:34:28 PM,I-77,,Heading North,,,Clanton Rd,7.0,-999.0,Mecklenburg,In Charlotte,10,35.1945053507159,-80.8841498895093,,,,,kdspencer,STOC,(877) 627-7,,,High,10,Lane Closed,,Vehicle Crash,1,None,1,3,False,False,False,False,False,False,The left lane has reopened near Exit 7 (Clanton Road).&nbsp;,cctv,,4/30/2017 6:08:25 PM,4/30/2017 7:34:28 PM,,,,,
505501,4/30/2017 5:38:00 PM,4/30/2017 8:51:11 PM,SR-1550,,Both Directions,US-264,ALT,US-264 ALT,-999.0,-999.0,Wilson,Saratoga,4,35.6342562224589,-77.7342068789673,,,,,kdspencer,STOC,(877) 627-7862,,,Medium,5,Road Closed,Pop City Rd,Vehicle Crash,1,None,0,0,True,False,False,False,False,False,The road has reopened near US-264 Alternate.,SHP CAD Feed confirmed,,4/30/2017 5:42:56 PM,4/30/2017 8:51:11 PM,,,,,
505500,4/30/2017 4:56:00 PM,4/30/2017 5:49:33 PM,I-85,,Heading South,,,S Cameron Blvd ,58.0,-999.0,Cabarrus,In Concord,10,35.4468415584024,-80.6065341946121,,,,,ctfilyaw,STOC,(877) 627-7862,,,High,7,Road Closed with Detour,,Vehicle Crash,1,None,0,0,False,False,True,False,False,False,The road has reopened near Exit 58 (S Cameron Blvd).&nbsp;,SHP,Follow directions of local law enforcement.,4/30/2017 5:02:41 PM,4/30/2017 5:49:33 PM,,,,,
505498,4/30/2017 1:56:00 PM,4/30/2017 2:24:10 PM,I-85,,Heading North,US-70,BUS,,170.0,-999.0,Orange,Hillsborough,7,36.0385625092622,-79.0133606725421,,,,,ctfilyaw,STOC,(877) 627-7862,,,High,10,Lane Closed,,Vehicle Crash,1,None,1,2,False,False,False,False,False,False,The left lane has reopened near Exit 170 (US-70 Business).,CCTV 1107-CTF,,4/30/2017 1:58:51 PM,4/30/2017 2:24:10 PM,,,,,
505497,4/30/2017 1:47:00 PM,4/30/2017 5:09:51 PM,I-85,,Heading North,,,Satterwhite Point Rd,217.0,-999.0,Vance,Henderson,5,36.3660450678441,-78.3675776556577,,,,,ctfilyaw,STOC,(877) 627-7862,,,Medium,2,Shoulder Closed,,Vehicle Crash,1,None,0,0,False,False,True,False,False,False,"The shoulder has reopened Satterwhite Point Rd, Exit 217. &nbsp;",,,4/30/2017 1:50:48 PM,4/30/2017 5:09:51 PM,,,,,
505496,4/30/2017 1:40:00 PM,4/30/2017 2:05:13 PM,I-77,,Heading North,I-485,,,19.0,-999.0,Mecklenburg,In Charlotte,10,35.3573921152475,-80.8435074174552,,,,,pjherzog,STOC,(877) 627-7862,,,High,1,Lanes Closed,,Vehicle Crash,1,None,2,4,False,False,False,False,False,False,"The two right lanes near I-485, Exit 19 have reopened.&nbsp;",,,4/30/2017 1:43:31 PM,4/30/2017 2:05:13 PM,,,,,
505495,4/30/2017 11:36:00 AM,4/30/2017 1:00:00 PM,I-26,,Heading East,US-25,,US-25,56.0,-999.0,Henderson,Near Flat Rock,14,36.003731,-79.831272,,,,,mzakdogan,STOC,(877) 627-7862,,,High,2,Shoulder Closed,,Disabled Vehicle,1,None,0,0,False,False,False,True,False,False,The shoulder near Exit 54 (US-25) has cleared.&nbsp;,IMAP 423,,4/30/2017 11:43:00 AM,4/30/2017 1:57:45 PM,,,,,
505494,4/30/2017 9:51:00 AM,4/30/2017 10:53:20 AM,I-40,,Heading West,SR-1973,,Page Road,282.0,-999.0,Durham,Near Durham,5,35.8824794622844,-78.839697625024,,,,,ctfilyaw,STOC,(877) 627-7862,,,High,2,Shoulder Closed,,Vehicle Crash,1,None,0,0,False,False,False,False,False,False,The median has reopened near Exit 282 (Page Road).,CCTV 1028,,4/30/2017 9:55:47 AM,4/30/2017 10:53:20 AM,,,,,
505493,4/30/2017 9:50:00 AM,4/30/2017 10:07:29 AM,I-95,,Heading North,NC-82,,NC-82,64.0,-999.0,Cumberland,Eastover,6,35.1816578356394,-78.6923343378558,,,,,mzakdogan,STOC,(877) 627-7862,,,High,10,Lane Closed,,Vehicle Crash,1,None,1,2,False,False,False,False,False,False,All lanes near Exit 65 (NC-82) are open.&nbsp;,SHP,,4/30/2017 9:54:14 AM,4/30/2017 10:07:29 AM,,,,,
