existinghospitalname,existinghospitallatitude,existinghospitallongitude,existinghospitalfixedcost,existinghospitalcapacity,potentialhospitalname,potentialhospitallatitude,potentialhospitallongitude,potentialhospitalcost,potentialhospitalcapacity,crashnumber,crashdateandtime,crashlatitude,crashlongitude,demand,pricepermile
wakemednorthhospital,35.908909,-78.597633,61.01666667,50,a,35.81646,-78.66701,70.39166667,30,1,10/31/2019 10:06:00 PM,35.7728945848966,-78.5390632512142,,0.41
wakemed ,35.78619,-78.589302,61.01666667,50,b,35.6909,-78.55537,70.39166667,30,2,10/31/2019 9:28:00 PM,35.8949691381441,-78.6037826051104,,
uncwakebrookhospital,35.770748,-78.583366,61.01666667,5,c,35.91769,-78.63048,70.39166667,30,3,10/31/2019 9:25:00 PM,35.8370838425717,-78.6642529964447,,
dukehospitalraleigh,35.828621,-78.618332,61.01666667,32,d,35.83714,-78.49621,70.39166667,30,4,10/31/2019 12:13:00 PM,35.6467619964905,-78.5652470626539,,
wakemedcaryhospital,35.740189,-78.779984,61.01666667,50,e,35.65854,-78.71658,70.39166667,30,5,10/31/2019 10:39:00 AM,35.8266685976312,-78.6246604941813,,
uncrexhospital,35.64287,-78.8372,61.01666667,38,f,35.83137,-78.53577,70.39166667,30,6,10/31/2019 7:23:00 AM,35.7947604431248,-78.7508722596515,,
unchospitalschildrensspecialty,35.81892,-78.70565,61.01666667,20,g,35.76397,-78.56706,70.39166667,30,7,10/31/2019 7:18:00 AM,35.9848961700731,-78.6569353342056,,
wakemedbriercreekhealthplex,35.9185,-78.78319,61.01666667,48,h,35.89692,-78.54405,70.39166667,30,8,10/31/2019 7:13:00 AM,35.7673871211005,-78.4663380680084,,
,,,,,,,,,,9,10/31/2019 1:51:00 AM,35.8280506423543,-78.7573987754608,,
,,,,,,,,,,10,10/30/2019 8:04:00 PM,35.754912645645,-78.8920217139646,,
,,,,,,,,,,11,10/30/2019 6:39:00 PM,35.7561490907599,-78.7170282139123,,
,,,,,,,,,,12,10/30/2019 3:09:00 PM,35.7736874041734,-78.7168393863976,,
,,,,,,,,,,13,10/30/2019 1:03:00 PM,35.8370405160633,-78.6553034826939,,
,,,,,,,,,,14,10/30/2019 10:44:00 AM,35.8372233082395,-78.6616344496433,,
,,,,,,,,,,15,10/30/2019 9:35:00 AM,35.7222210478539,-78.8282470747654,,
,,,,,,,,,,16,10/30/2019 9:21:00 AM,35.7687033530661,-78.7293434187595,,
,,,,,,,,,,17,10/30/2019 8:40:00 AM,35.7948660671951,-78.5831698315589,,
,,,,,,,,,,18,10/30/2019 8:32:00 AM,35.8979748532562,-78.6098222777073,,
,,,,,,,,,,19,10/30/2019 8:00:00 AM,35.6167510824989,-78.5355037689209,,
,,,,,,,,,,20,10/30/2019 7:44:00 AM,35.7667207115033,-78.7352233289197,,
,,,,,,,,,,21,10/30/2019 7:35:00 AM,35.7800121173118,-78.7481536909763,,
,,,,,,,,,,22,10/30/2019 7:32:00 AM,35.8296936817333,-78.759681706113,,
,,,,,,,,,,23,10/30/2019 7:22:00 AM,35.5401619618328,-78.7475652739231,,
,,,,,,,,,,24,10/30/2019 6:55:00 AM,35.7705693353459,-78.4526743933384,,
,,,,,,,,,,25,10/30/2019 6:27:00 AM,35.8346125205868,-78.6383048577814,,
,,,,,,,,,,26,10/30/2019 6:04:00 AM,35.7965694986466,-78.6405678329468,,
,,,,,,,,,,27,10/30/2019 5:45:00 AM,35.9139047883087,-78.4498319039907,,
,,,,,,,,,,28,10/29/2019 4:59:00 PM,35.7568821499884,-78.7197900118809,,
,,,,,,,,,,29,10/29/2019 3:46:00 PM,35.8745399037584,-78.5722534656525,,
,,,,,,,,,,30,10/29/2019 2:12:00 PM,35.6442541197856,-78.7098027592782,,
,,,,,,,,,,31,10/29/2019 10:12:00 AM,35.7984315961168,-78.4873506882261,,
,,,,,,,,,,32,10/29/2019 9:49:00 AM,35.6394802642297,-78.7127421110005,,
,,,,,,,,,,33,10/29/2019 8:37:00 AM,35.7987921482374,-78.5886733803288,,
,,,,,,,,,,34,10/29/2019 7:58:00 AM,35.8341705108078,-78.7687149245709,,
,,,,,,,,,,35,10/29/2019 7:42:00 AM,35.8335296083841,-78.6744699854917,,
,,,,,,,,,,36,10/29/2019 7:25:00 AM,35.6427918367814,-78.8391037397753,,
